[width="65%",cols="^1,^2,8",options="header"]
|========================================
| Extension | Nom | Description

| alias | alias | liste des alias

| alias | alias_value | valeur de l'alias

| aspell | aspell_dicts | liste des dictionnaires aspell installés

| aspell | aspell_langs | liste de toutes les langues supportées par aspell

| guile | guile_script | liste des scripts

| irc | irc_channel | canal IRC courant

| irc | irc_channel_nicks_hosts | pseudos et noms d'hôtes du canal IRC courant

| irc | irc_channel_topic | titre du canal IRC courant

| irc | irc_channels | canaux sur tous les serveurs IRC

| irc | irc_ignores_numbers | numéros pour les ignores définis

| irc | irc_msg_part | message de fin par défaut pour le canal IRC

| irc | irc_notify_nicks | pseudos dans la liste de notifications

| irc | irc_privates | privés sur tous les serveurs IRC

| irc | irc_server | serveur IRC courant

| irc | irc_server_channels | canaux sur le serveur IRC courant

| irc | irc_server_nick | pseudo sur le serveur IRC courant

| irc | irc_server_nicks | pseudos sur tous les canaux du serveur IRC courant

| irc | irc_server_privates | privés sur le serveur IRC courant

| irc | irc_servers | serveurs IRC (noms internes)

| irc | nick | pseudos du canal IRC courant

| lua | lua_script | liste des scripts

| perl | perl_script | liste des scripts

| python | python_script | liste des scripts

| relay | relay_free_port | premier port libre pour l'extension relay

| relay | relay_protocol_name | tous les protocole.nom possible pour l'extension relay

| relay | relay_relays | protocole.nom des relais courants pour l'extension relay

| rmodifier | rmodifier | liste des rmodifiers

| ruby | ruby_script | liste des scripts

| script | script_files | fichiers dans les répertoires de script

| script | script_scripts | liste des scripts du repository

| script | script_scripts_installed | liste des scripts installés (du repository)

| script | script_tags | étiquettes des scripts dans le repository

| tcl | tcl_script | liste des scripts

| weechat | bars_names | noms des barres

| weechat | bars_options | options pour les barres

| weechat | buffer_properties_get | propriétés qui peuvent être lues sur un tampon

| weechat | buffer_properties_set | propriétés qui peuvent être changées sur un tampon

| weechat | buffers_names | noms des tampons

| weechat | buffers_numbers | numéros des tampons

| weechat | buffers_plugins_names | noms des tampons (incluant les noms d'extensions)

| weechat | commands | commandes (weechat et extensions)

| weechat | config_files | fichiers de configuration

| weechat | config_option_values | valeurs pour une option de configuration

| weechat | config_options | options de configuration

| weechat | cursor_areas | zones ("chat" ou un nom de barre) pour le mouvement libre du curseur

| weechat | filename | nom de fichier

| weechat | filters_names | noms des filtres

| weechat | infolists | noms des infolistes accrochées

| weechat | infos | noms des infos accrochées

| weechat | keys_codes | codes des touches

| weechat | keys_codes_for_reset | codes des touches pouvant être réinitialisées (touches ajoutées, redéfinies ou supprimées)

| weechat | keys_contexts | contextes de touches

| weechat | nicks | pseudos dans la liste des pseudos du tampon courant

| weechat | palette_colors | couleurs de la palette

| weechat | plugins_commands | commandes définies par les extensions

| weechat | plugins_names | noms des extensions

| weechat | proxies_names | noms des proxies

| weechat | proxies_options | options pour les proxies

| weechat | weechat_commands | commandes weechat

| weechat | windows_numbers | numéros des fenêtres

| xfer | nick | pseudos de la discussion DCC

|========================================
